Date,Close/Last,Volume,Open,High,Low
01/19/2021,25.32,107669,24.835,25.48,24.04
01/15/2021,24.866,102595,25.61,25.865,24.61
01/14/2021,25.802,82618,25.29,25.885,25.525
01/13/2021,25.572,57858,25.655,25.63,25.205
01/12/2021,25.435,64420,25.015,25.725,25.615
01/11/2021,24.985,103896,25.47,25.595,24.365
01/08/2021,24.637,180099,27.28,27.335,24.53
01/07/2021,27.261,68907,27.41,27.495,27.02
01/06/2021,27.042,127147,27.72,28.105,26.7
01/05/2021,27.64,66177,27.355,27.85,27.15
01/04/2021,27.364,110753,26.77,27.76,26.73
